
NaN,NaN
0.0,0.0
-1.0471975,-1.73205
-1.884955,3.0776818103858368
-Infinity,NaN
Infinity,Infinity
NaN,NaN
0.0,0.0
-1.0471975,-1.73205
-1.884955,3.0776818103858368
-Infinity,NaN
Infinity,Infinity
NaN,NaN
0.0,0.0
-1.0471975,-1.73205
-1.884955,3.0776818103858368
-Infinity,NaN
Infinity,Infinity
NaN,NaN
0.0,0.0
-0.5235987,-0.577350538379377
-1.0471975,-1.73205
-1.884955,3.0776818103858368
-Infinity,NaN
Infinity,Infinity
NaN,NaN
0.0,0.0
-0.5235987,-0.577350538379377
-1.0471975,-1.73205
-1.884955,3.0776818103858368
-2.356194,1.0
-4.712389,Infinity
-Infinity,NaN
Infinity,Infinity
NaN,NaN
0.0,0.0
-0.5235987,-0.577350538379377
-1.0471975,-1.73205
-1.884955,3.0776818103858368
-2.356194,1.0
-4.712389,Infinity
-Infinity,NaN
Infinity,Infinity
NaN,NaN
0.0,0.0
-0.5235987,-0.577350538379377
-1.0471975,-1.73205
-1.884955,3.0776818103858368
-2.356194,1.0
-3.1415926,-0.0
-4.712389,Infinity
-Infinity,NaN
Infinity,Infinity
NaN,NaN
0.0,0.0
-0.5235987,-0.577350538379377
-1.0471975,-1.73205
-1.884955,3.0776818103858368
-2.356194,1.0
-3.1415926,-0.0
-4.712389,Infinity
-6.283185,0.0
-Infinity,NaN
Infinity,Infinity
NaN,NaN
0.0,0.0
-0.5235987,-0.577350538379377
-1.0471975,-1.73205
-1.884955,3.0776818103858368
-2.356194,1.0
-3.1415926,-0.0
-4.712389,Infinity
-6.283185,0.0
-7.3303828,-1.73205
-8.16814089,3.0776818103858368
-Infinity,NaN
Infinity,Infinity
