
NaN,NaN
-0.5235987,-1.73205
-1.0471975,-0.577350538379377
-1.884955,0.3249198785350179
-2.356194,1.0
-Infinity,NaN
Infinity,Infinity
NaN,NaN
-0.5235987,-1.73205
-1.0471975,-0.577350538379377
-1.884955,0.3249198785350179
-2.356194,1.0
-Infinity,NaN
Infinity,Infinity
NaN,NaN
-0.5235987,-1.73205
-1.0471975,-0.577350538379377
-1.884955,0.3249198785350179
-2.356194,1.0
-2.356194,1.0
-Infinity,NaN
Infinity,Infinity
NaN,NaN
-0.5235987,-1.73205
-1.0471975,-0.577350538379377
-1.884955,0.3249198785350179
-2.356194,1.0
-2.356194,1.0
-Infinity,NaN
Infinity,Infinity
NaN,NaN
0.0,Infinity
-0.5235987,-1.73205
-1.0471975,-0.577350538379377
-1.884955,0.3249198785350179
-2.356194,1.0
-2.356194,1.0
-Infinity,NaN
Infinity,Infinity
NaN,NaN
0.0,Infinity
-0.5235987,-1.73205
-1.0471975,-0.577350538379377
-1.884955,0.3249198785350179
-2.356194,1.0
-4.712389,0.0
-6.283185,Infinity
-Infinity,NaN
Infinity,Infinity
NaN,NaN
0.0,Infinity
-0.5235987,-1.73205
-1.0471975,-0.577350538379377
-1.884955,0.3249198785350179
-2.356194,1.0
-3.1415926,-Infinity
-4.712389,0.0
-6.283185,Infinity
-Infinity,NaN
Infinity,Infinity
NaN,NaN
0.0,Infinity
-0.5235987,-1.73205
-1.0471975,-0.577350538379377
-1.884955,0.3249198785350179
-2.356194,1.0
-3.1415926,-Infinity
-4.712389,0.0
-6.283185,Infinity
-7.3303828,-0.577350538379377
-8.16814089,0.3249198785350179
-Infinity,NaN
Infinity,Infinity
